invoice_number,customer_name,customer_gstin,date,due_date,status,subtotal,gst_rate,gst_amount,total,items_json,notes,payment_link
INV-202602-0001,Fnb Client 11,29AABCU0011R1ZB,2026-02-24,2026-04-10,paid,14854,18.0,2673.72,17527.72,"[{""description"": ""Hot Bev Product 46"", ""quantity"": 2, ""unit_price"": 7427, ""sku"": ""SKU-FNB-046""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0001
INV-202602-0002,Fnb Client 10,29AABCU0010R1ZB,2026-02-23,2026-04-09,paid,13266,18.0,2387.88,15653.88,"[{""description"": ""Bakery Product 18"", ""quantity"": 3, ""unit_price"": 4422, ""sku"": ""SKU-FNB-018""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0002
INV-202603-0003,Fnb Client 9,29AABCU0009R1ZA,2026-03-11,2026-04-25,sent,98420,18.0,17715.6,116135.6,"[{""description"": ""Hot Bev Product 7"", ""quantity"": 9, ""unit_price"": 1790, ""sku"": ""SKU-FNB-007""}, {""description"": ""Meals Product 29"", ""quantity"": 5, ""unit_price"": 182, ""sku"": ""SKU-FNB-029""}, {""description"": ""Bakery Product 57"", ""quantity"": 10, ""unit_price"": 7733, ""sku"": ""SKU-FNB-057""}, {""description"": ""Bakery Product 53"", ""quantity"": 2, ""unit_price"": 2035, ""sku"": ""SKU-FNB-053""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0003
INV-202602-0004,Fnb Client 3,29AABCU0003R1ZC,2026-02-19,2026-04-20,sent,184981,18.0,33296.58,218277.58,"[{""description"": ""Hot Bev Product 30"", ""quantity"": 5, ""unit_price"": 10289, ""sku"": ""SKU-FNB-030""}, {""description"": ""Hot Bev Product 30"", ""quantity"": 10, ""unit_price"": 10289, ""sku"": ""SKU-FNB-030""}, {""description"": ""Bakery Product 53"", ""quantity"": 2, ""unit_price"": 2035, ""sku"": ""SKU-FNB-053""}, {""description"": ""Bakery Product 12"", ""quantity"": 3, ""unit_price"": 8526, ""sku"": ""SKU-FNB-012""}, {""description"": ""Hot Bev Product 22"", ""quantity"": 1, ""unit_price"": 998, ""sku"": ""SKU-FNB-022""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0004
INV-202602-0005,Fnb Client 2,29AABCU0002R1ZB,2026-02-18,2026-04-19,paid,4300,18.0,774.0,5074.0,"[{""description"": ""Meals Product 33"", ""quantity"": 10, ""unit_price"": 430, ""sku"": ""SKU-FNB-033""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0005
INV-202512-0006,Fnb Client 9,29AABCU0009R1ZA,2025-12-26,2026-02-09,paid,73992,18.0,13318.56,87310.56,"[{""description"": ""Meals Product 27"", ""quantity"": 1, ""unit_price"": 5232, ""sku"": ""SKU-FNB-027""}, {""description"": ""Hot Bev Product 38"", ""quantity"": 7, ""unit_price"": 5316, ""sku"": ""SKU-FNB-038""}, {""description"": ""Meals Product 39"", ""quantity"": 4, ""unit_price"": 5392, ""sku"": ""SKU-FNB-039""}, {""description"": ""Hot Bev Product 22"", ""quantity"": 10, ""unit_price"": 998, ""sku"": ""SKU-FNB-022""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0006
INV-202603-0007,Fnb Client 2,29AABCU0002R1ZB,2026-03-06,2026-05-05,sent,39057,18.0,7030.26,46087.26,"[{""description"": ""Hot Bev Product 26"", ""quantity"": 7, ""unit_price"": 2811, ""sku"": ""SKU-FNB-026""}, {""description"": ""Bakery Product 2"", ""quantity"": 10, ""unit_price"": 1938, ""sku"": ""SKU-FNB-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0007
INV-202601-0008,Fnb Client 6,29AABCU0006R1ZA,2026-01-09,2026-01-24,overdue,143460,18.0,25822.8,169282.8,"[{""description"": ""Bakery Product 47"", ""quantity"": 8, ""unit_price"": 3546, ""sku"": ""SKU-FNB-047""}, {""description"": ""Hot Bev Product 50"", ""quantity"": 6, ""unit_price"": 5092, ""sku"": ""SKU-FNB-050""}, {""description"": ""Meals Product 28"", ""quantity"": 1, ""unit_price"": 1092, ""sku"": ""SKU-FNB-028""}, {""description"": ""Hot Bev Product 3"", ""quantity"": 8, ""unit_price"": 9102, ""sku"": ""SKU-FNB-003""}, {""description"": ""Hot Bev Product 38"", ""quantity"": 2, ""unit_price"": 5316, ""sku"": ""SKU-FNB-038""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0008
INV-202601-0009,Fnb Client 5,29AABCU0005R1ZC,2026-01-14,2026-03-15,paid,149505,18.0,26910.9,176415.9,"[{""description"": ""Hot Bev Product 23"", ""quantity"": 7, ""unit_price"": 2946, ""sku"": ""SKU-FNB-023""}, {""description"": ""Cold Bev Product 34"", ""quantity"": 1, ""unit_price"": 512, ""sku"": ""SKU-FNB-034""}, {""description"": ""Hot Bev Product 32"", ""quantity"": 9, ""unit_price"": 10031, ""sku"": ""SKU-FNB-032""}, {""description"": ""Bakery Product 35"", ""quantity"": 3, ""unit_price"": 7326, ""sku"": ""SKU-FNB-035""}, {""description"": ""Hot Bev Flagship (Hero)"", ""quantity"": 2, ""unit_price"": 8057, ""sku"": ""SKU-FNB-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0009
INV-202601-0010,Fnb Client 5,29AABCU0005R1ZC,2026-01-10,2026-03-11,paid,114689,18.0,20644.02,135333.02,"[{""description"": ""Hot Bev Product 23"", ""quantity"": 4, ""unit_price"": 2946, ""sku"": ""SKU-FNB-023""}, {""description"": ""Meals Product 39"", ""quantity"": 8, ""unit_price"": 5392, ""sku"": ""SKU-FNB-039""}, {""description"": ""Meals Product 9"", ""quantity"": 3, ""unit_price"": 3573, ""sku"": ""SKU-FNB-009""}, {""description"": ""Bakery Product 48"", ""quantity"": 9, ""unit_price"": 5450, ""sku"": ""SKU-FNB-048""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0010
