sku,name,category,cost_price,selling_price,current_stock,reorder_point,safety_stock,eoq,supplier_lead_time_days,units_sold_30d
SKU-RETAIL-001,Home Goods Flagship (Hero),Home Goods,3441,5559,45,16,7,42,9,97
SKU-RETAIL-002,Electronics Product 2,Electronics,3314,4783,69,40,16,99,12,13
SKU-RETAIL-003,Home Goods Product 3,Home Goods,791,1107,0,0,0,0,4,5
SKU-RETAIL-004,Home Goods Product 4,Home Goods,4457,7403,228,64,24,156,10,43
SKU-RETAIL-005,Accessories Product 5,Accessories,3765,5701,0,0,0,0,9,29
SKU-RETAIL-006,Apparel Product 6,Apparel,4991,8329,30,12,6,28,6,37
SKU-RETAIL-007,Home Goods Product 7,Home Goods,1335,2246,67,93,51,131,14,27
SKU-RETAIL-008,Apparel Product 8,Apparel,1527,2393,7,17,8,37,9,23
SKU-RETAIL-009,Electronics Product 9,Electronics,4209,6743,0,0,0,0,14,9
SKU-RETAIL-010,Electronics Product 10,Electronics,632,953,71,46,26,111,10,32
SKU-RETAIL-011,Apparel Product 11,Apparel,3257,5166,22,80,44,101,9,21
SKU-RETAIL-012,Home Goods Product 12,Home Goods,3408,5294,17,11,5,21,3,41
SKU-RETAIL-013,Home Goods Product 13,Home Goods,4752,7899,0,0,0,0,13,23
SKU-RETAIL-014,Apparel Product 14,Apparel,2506,4218,82,48,28,67,4,3
SKU-RETAIL-015,Electronics Product 15,Electronics,3620,5098,59,24,12,47,12,26
SKU-RETAIL-016,Accessories Product 16,Accessories,2720,3865,72,42,21,70,7,42
SKU-RETAIL-017,Electronics Product 17,Electronics,1398,2274,78,36,16,54,10,32
SKU-RETAIL-018,Electronics Product 18,Electronics,3349,5295,168,87,39,135,12,0
SKU-RETAIL-019,Accessories Product 19,Accessories,3580,5401,86,78,45,84,11,27
SKU-RETAIL-020,Home Goods Product 20,Home Goods,2294,3249,33,24,12,30,6,46
SKU-RETAIL-021,Accessories Product 21,Accessories,3706,5613,55,87,47,179,8,10
SKU-RETAIL-022,Accessories Product 22,Accessories,4263,7116,0,0,0,0,13,11
SKU-RETAIL-023,Accessories Product 23,Accessories,1810,2760,0,0,0,0,8,20
SKU-RETAIL-024,Accessories Product 24,Accessories,1374,2186,0,0,0,0,8,8
SKU-RETAIL-025,Electronics Product 25,Electronics,3414,4772,187,84,48,140,12,46
SKU-RETAIL-026,Home Goods Product 26,Home Goods,2225,3256,255,87,42,194,9,2
SKU-RETAIL-027,Electronics Product 27,Electronics,4869,6847,75,63,24,75,13,46
SKU-RETAIL-028,Home Goods Product 28,Home Goods,2585,3987,0,0,0,0,8,34
SKU-RETAIL-029,Accessories Product 29,Accessories,3287,5378,0,0,0,0,4,25
SKU-RETAIL-030,Accessories Product 30,Accessories,459,754,144,46,19,102,9,32
SKU-RETAIL-031,Electronics Product 31,Electronics,4021,5594,26,33,17,63,8,26
SKU-RETAIL-032,Electronics Product 32,Electronics,4247,6490,0,0,0,0,7,22
SKU-RETAIL-033,Apparel Product 33,Apparel,3697,5363,22,13,7,19,3,20
SKU-RETAIL-034,Electronics Product 34,Electronics,2777,4499,0,0,0,0,8,2
SKU-RETAIL-035,Home Goods Product 35,Home Goods,1941,2955,0,0,0,0,13,34
SKU-RETAIL-036,Electronics Product 36,Electronics,4719,7281,12,6,3,13,3,25
SKU-RETAIL-037,Home Goods Product 37,Home Goods,3272,4686,65,69,36,76,11,45
SKU-RETAIL-038,Home Goods Product 38,Home Goods,4238,6154,21,54,27,105,9,28
