date,revenue,expenses,profit,top_selling_sku
2024-09-26,233506.8,156401.7,77105.11,SKU-RETAIL-001
2024-09-27,177268.35,116393.95,60874.4,SKU-RETAIL-001
2024-09-28,221071.19,144554.69,76516.49,SKU-RETAIL-001
2024-09-29,190782.24,126801.3,63980.94,SKU-RETAIL-001
2024-09-30,163775.65,99151.02,64624.64,SKU-RETAIL-189
2024-10-01,305346.57,193148.66,112197.9,SKU-RETAIL-001
2024-10-02,304992.81,205501.33,99491.48,SKU-RETAIL-001
2024-10-03,287155.07,192397.14,94757.92,SKU-RETAIL-001
2024-10-04,236224.74,160858.37,75366.37,SKU-RETAIL-001
2024-10-05,237171.19,148720.81,88450.38,SKU-RETAIL-001
2024-10-06,337761.56,201499.9,136261.66,SKU-RETAIL-132
2024-10-07,335862.87,212592.14,123270.73,SKU-RETAIL-001
2024-10-08,338113.44,218680.1,119433.34,SKU-RETAIL-001
2024-10-09,270513.08,158682.23,111830.85,SKU-RETAIL-126
2024-10-10,303066.15,201344.61,101721.54,SKU-RETAIL-001
2024-10-11,293921.72,185557.32,108364.4,SKU-RETAIL-150
2024-10-12,303297.51,216632.57,86664.94,SKU-RETAIL-001
2024-10-13,283939.5,202163.86,81775.65,SKU-RETAIL-031
2024-10-14,274165.29,181296.0,92869.29,SKU-RETAIL-001
2024-10-15,275632.9,179665.22,95967.68,SKU-RETAIL-001
2024-10-16,312254.02,221573.86,90680.16,SKU-RETAIL-001
2024-10-17,320861.41,194567.1,126294.31,SKU-RETAIL-001
2024-10-18,251308.33,149213.18,102095.15,SKU-RETAIL-001
2024-10-19,338424.68,206149.73,132274.95,SKU-RETAIL-001
2024-10-20,294658.12,190110.31,104547.8,SKU-RETAIL-110
2024-10-21,282329.73,178254.25,104075.47,SKU-RETAIL-166
2024-10-22,230523.51,154773.83,75749.67,SKU-RETAIL-001
2024-10-23,291316.4,181573.52,109742.88,SKU-RETAIL-107
2024-10-24,247234.23,165166.82,82067.4,SKU-RETAIL-001
2024-10-25,230401.88,145013.12,85388.76,SKU-RETAIL-001
2024-10-26,288924.28,173773.95,115150.33,SKU-RETAIL-001
2024-10-27,228439.05,152957.89,75481.15,SKU-RETAIL-001
2024-10-28,230768.68,153680.14,77088.54,SKU-RETAIL-057
2024-10-29,283625.22,196358.71,87266.5,SKU-RETAIL-001
2024-10-30,316973.83,214604.69,102369.14,SKU-RETAIL-011
2024-10-31,254569.12,178511.6,76057.53,SKU-RETAIL-173
2024-11-01,236323.17,153733.93,82589.24,SKU-RETAIL-001
2024-11-02,257014.54,183083.32,73931.22,SKU-RETAIL-041
2024-11-03,317241.91,199259.99,117981.92,SKU-RETAIL-001
2024-11-04,313884.49,192497.16,121387.33,SKU-RETAIL-019
2024-11-05,264134.1,163727.39,100406.71,SKU-RETAIL-001
2024-11-06,235431.2,155488.63,79942.57,SKU-RETAIL-001
2024-11-07,280458.35,170110.62,110347.72,SKU-RETAIL-001
2024-11-08,332544.64,236584.05,95960.59,SKU-RETAIL-001
2024-11-09,311645.55,199572.53,112073.02,SKU-RETAIL-198
2024-11-10,295556.87,204695.17,90861.7,SKU-RETAIL-001
2024-11-11,244239.52,171036.23,73203.29,SKU-RETAIL-041
2024-11-12,252279.14,178873.36,73405.77,SKU-RETAIL-001
2024-11-13,247820.82,153103.8,94717.02,SKU-RETAIL-146
2024-11-14,309152.23,209602.44,99549.79,SKU-RETAIL-001
2024-11-15,309907.02,186438.66,123468.36,SKU-RETAIL-001
2024-11-16,287791.12,174982.6,112808.51,SKU-RETAIL-001
2024-11-17,306877.35,193649.75,113227.61,SKU-RETAIL-001
2024-11-18,258405.49,174125.55,84279.95,SKU-RETAIL-066
2024-11-19,329839.66,218827.13,111012.54,SKU-RETAIL-001
2024-11-20,261748.64,167138.63,94610.0,SKU-RETAIL-001
2024-11-21,312904.36,220982.42,91921.95,SKU-RETAIL-001
2024-11-22,231610.26,145352.59,86257.67,SKU-RETAIL-001
2024-11-23,311594.45,191368.0,120226.45,SKU-RETAIL-001
2024-11-24,289775.79,203442.2,86333.58,SKU-RETAIL-001
2024-11-25,328233.07,207374.49,120858.58,SKU-RETAIL-028
2024-11-26,248178.65,172542.06,75636.59,SKU-RETAIL-001
2024-11-27,297116.01,199953.25,97162.75,SKU-RETAIL-001
2024-11-28,320426.94,223536.13,96890.81,SKU-RETAIL-001
2024-11-29,289185.34,201358.89,87826.45,SKU-RETAIL-001
2024-11-30,234515.15,147017.65,87497.5,SKU-RETAIL-001
2024-12-01,191317.64,129697.58,61620.07,SKU-RETAIL-001
2024-12-02,244679.9,162017.56,82662.34,SKU-RETAIL-001
2024-12-03,227002.09,147603.36,79398.73,SKU-RETAIL-001
2024-12-04,242735.89,166945.87,75790.03,SKU-RETAIL-193
2024-12-05,182520.44,126436.43,56084.0,SKU-RETAIL-001
2024-12-06,186309.74,121830.98,64478.75,SKU-RETAIL-001
2024-12-07,231914.48,149793.34,82121.13,SKU-RETAIL-046
2024-12-08,192417.27,136176.0,56241.28,SKU-RETAIL-001
2024-12-09,221482.13,150292.26,71189.87,SKU-RETAIL-001
2024-12-10,230904.37,159255.84,71648.53,SKU-RETAIL-001
2024-12-11,248306.12,164019.74,84286.38,SKU-RETAIL-194
2024-12-12,241826.98,149688.46,92138.53,SKU-RETAIL-001
2024-12-13,190443.9,122389.33,68054.57,SKU-RETAIL-001
2024-12-14,188033.12,119445.64,68587.48,SKU-RETAIL-001
2024-12-15,198700.53,132877.39,65823.14,SKU-RETAIL-001
2024-12-16,249691.39,163680.15,86011.23,SKU-RETAIL-001
2024-12-17,175326.22,121217.37,54108.85,SKU-RETAIL-050
2024-12-18,171234.09,101196.29,70037.8,SKU-RETAIL-001
2024-12-19,240833.61,158823.17,82010.44,SKU-RETAIL-194
2024-12-20,204117.21,142217.68,61899.52,SKU-RETAIL-001
2024-12-21,200654.03,138948.2,61705.83,SKU-RETAIL-001
2024-12-22,240875.01,170970.23,69904.78,SKU-RETAIL-001
2024-12-23,206205.7,138949.41,67256.29,SKU-RETAIL-123
2024-12-24,202632.13,125750.2,76881.93,SKU-RETAIL-001
2024-12-25,189861.45,117899.98,71961.48,SKU-RETAIL-001
2024-12-26,170919.02,106691.94,64227.08,SKU-RETAIL-044
2024-12-27,227228.13,141696.18,85531.96,SKU-RETAIL-001
2024-12-28,228101.44,160252.4,67849.04,SKU-RETAIL-001
2024-12-29,175743.97,107066.7,68677.27,SKU-RETAIL-054
2024-12-30,169031.26,103465.71,65565.55,SKU-RETAIL-001
2024-12-31,222738.46,153570.31,69168.15,SKU-RETAIL-048
2025-01-01,190091.5,133848.91,56242.6,SKU-RETAIL-185
2025-01-02,234969.57,139722.09,95247.48,SKU-RETAIL-051
2025-01-03,247838.86,175642.05,72196.81,SKU-RETAIL-129
2025-01-04,246325.69,173995.55,72330.14,SKU-RETAIL-169
2025-01-05,243409.09,159581.0,83828.09,SKU-RETAIL-001
2025-01-06,179032.07,118720.97,60311.09,SKU-RETAIL-001
2025-01-07,238619.54,154493.33,84126.2,SKU-RETAIL-001
2025-01-08,186618.9,131897.72,54721.18,SKU-RETAIL-033
2025-01-09,181366.01,109970.69,71395.32,SKU-RETAIL-001
2025-01-10,208079.52,132459.01,75620.52,SKU-RETAIL-001
