date,description,amount,type,category,merchant
2024-09-26,Daily Sales Settlement,233506.8,credit,Sales Revenue,Payment Gateway
2024-09-27,Daily Sales Settlement,177268.35,credit,Sales Revenue,Payment Gateway
2024-09-28,Daily Sales Settlement,221071.19,credit,Sales Revenue,Payment Gateway
2024-09-28,Supplier Payment / Overheads,206751.8404765908,debit,COGS,Various Vendors
2024-09-29,Daily Sales Settlement,190782.24,credit,Sales Revenue,Payment Gateway
2024-09-29,Supplier Payment / Overheads,133733.62634401678,debit,COGS,Various Vendors
2024-09-30,Daily Sales Settlement,163775.65,credit,Sales Revenue,Payment Gateway
2024-10-01,Daily Sales Settlement,305346.57,credit,Sales Revenue,Payment Gateway
2024-10-02,Daily Sales Settlement,304992.81,credit,Sales Revenue,Payment Gateway
2024-10-03,Daily Sales Settlement,287155.07,credit,Sales Revenue,Payment Gateway
2024-10-03,Supplier Payment / Overheads,222225.77396649547,debit,Marketing,Various Vendors
2024-10-04,Daily Sales Settlement,236224.74,credit,Sales Revenue,Payment Gateway
2024-10-05,Daily Sales Settlement,237171.19,credit,Sales Revenue,Payment Gateway
2024-10-06,Daily Sales Settlement,337761.56,credit,Sales Revenue,Payment Gateway
2024-10-07,Daily Sales Settlement,335862.87,credit,Sales Revenue,Payment Gateway
2024-10-08,Daily Sales Settlement,338113.44,credit,Sales Revenue,Payment Gateway
2024-10-09,Daily Sales Settlement,270513.08,credit,Sales Revenue,Payment Gateway
2024-10-09,Supplier Payment / Overheads,193977.87723474632,debit,COGS,Various Vendors
2024-10-10,Daily Sales Settlement,303066.15,credit,Sales Revenue,Payment Gateway
2024-10-10,Supplier Payment / Overheads,245824.8040283345,debit,Rent,Various Vendors
2024-10-11,Daily Sales Settlement,293921.72,credit,Sales Revenue,Payment Gateway
2024-10-12,Daily Sales Settlement,303297.51,credit,Sales Revenue,Payment Gateway
2024-10-13,Daily Sales Settlement,283939.5,credit,Sales Revenue,Payment Gateway
2024-10-13,Supplier Payment / Overheads,244071.03815672724,debit,Rent,Various Vendors
2024-10-14,Daily Sales Settlement,274165.29,credit,Sales Revenue,Payment Gateway
2024-10-14,Supplier Payment / Overheads,150970.0217132302,debit,Rent,Various Vendors
2024-10-15,Daily Sales Settlement,275632.9,credit,Sales Revenue,Payment Gateway
2024-10-16,Daily Sales Settlement,312254.02,credit,Sales Revenue,Payment Gateway
2024-10-17,Daily Sales Settlement,320861.41,credit,Sales Revenue,Payment Gateway
2024-10-18,Daily Sales Settlement,251308.33,credit,Sales Revenue,Payment Gateway
2024-10-19,Daily Sales Settlement,338424.68,credit,Sales Revenue,Payment Gateway
2024-10-20,Daily Sales Settlement,294658.12,credit,Sales Revenue,Payment Gateway
2024-10-21,Daily Sales Settlement,282329.73,credit,Sales Revenue,Payment Gateway
2024-10-21,Supplier Payment / Overheads,205643.02357443707,debit,COGS,Various Vendors
2024-10-22,Daily Sales Settlement,230523.51,credit,Sales Revenue,Payment Gateway
2024-10-23,Daily Sales Settlement,291316.4,credit,Sales Revenue,Payment Gateway
2024-10-24,Daily Sales Settlement,247234.23,credit,Sales Revenue,Payment Gateway
2024-10-25,Daily Sales Settlement,230401.88,credit,Sales Revenue,Payment Gateway
2024-10-25,Supplier Payment / Overheads,133543.06043572153,debit,COGS,Various Vendors
2024-10-26,Daily Sales Settlement,288924.28,credit,Sales Revenue,Payment Gateway
2024-10-27,Daily Sales Settlement,228439.05,credit,Sales Revenue,Payment Gateway
2024-10-28,Daily Sales Settlement,230768.68,credit,Sales Revenue,Payment Gateway
2024-10-29,Daily Sales Settlement,283625.22,credit,Sales Revenue,Payment Gateway
2024-10-30,Daily Sales Settlement,316973.83,credit,Sales Revenue,Payment Gateway
2024-10-31,Daily Sales Settlement,254569.12,credit,Sales Revenue,Payment Gateway
2024-11-01,Daily Sales Settlement,236323.17,credit,Sales Revenue,Payment Gateway
2024-11-02,Daily Sales Settlement,257014.54,credit,Sales Revenue,Payment Gateway
2024-11-03,Daily Sales Settlement,317241.91,credit,Sales Revenue,Payment Gateway
2024-11-04,Daily Sales Settlement,313884.49,credit,Sales Revenue,Payment Gateway
2024-11-04,Supplier Payment / Overheads,279549.26598021307,debit,COGS,Various Vendors
2024-11-05,Daily Sales Settlement,264134.1,credit,Sales Revenue,Payment Gateway
2024-11-06,Daily Sales Settlement,235431.2,credit,Sales Revenue,Payment Gateway
2024-11-07,Daily Sales Settlement,280458.35,credit,Sales Revenue,Payment Gateway
2024-11-08,Daily Sales Settlement,332544.64,credit,Sales Revenue,Payment Gateway
2024-11-08,Supplier Payment / Overheads,298218.1516272198,debit,Marketing,Various Vendors
2024-11-09,Daily Sales Settlement,311645.55,credit,Sales Revenue,Payment Gateway
2024-11-09,Supplier Payment / Overheads,280017.34990099794,debit,COGS,Various Vendors
2024-11-10,Daily Sales Settlement,295556.87,credit,Sales Revenue,Payment Gateway
2024-11-10,Supplier Payment / Overheads,206877.82513622852,debit,Marketing,Various Vendors
2024-11-11,Daily Sales Settlement,244239.52,credit,Sales Revenue,Payment Gateway
2024-11-11,Supplier Payment / Overheads,161850.86315329024,debit,Payroll,Various Vendors
2024-11-12,Daily Sales Settlement,252279.14,credit,Sales Revenue,Payment Gateway
2024-11-13,Daily Sales Settlement,247820.82,credit,Sales Revenue,Payment Gateway
2024-11-14,Daily Sales Settlement,309152.23,credit,Sales Revenue,Payment Gateway
2024-11-15,Daily Sales Settlement,309907.02,credit,Sales Revenue,Payment Gateway
2024-11-15,Supplier Payment / Overheads,219193.3554080668,debit,COGS,Various Vendors
2024-11-16,Daily Sales Settlement,287791.12,credit,Sales Revenue,Payment Gateway
2024-11-17,Daily Sales Settlement,306877.35,credit,Sales Revenue,Payment Gateway
2024-11-18,Daily Sales Settlement,258405.49,credit,Sales Revenue,Payment Gateway
2024-11-18,Supplier Payment / Overheads,206266.55442161384,debit,Payroll,Various Vendors
2024-11-19,Daily Sales Settlement,329839.66,credit,Sales Revenue,Payment Gateway
2024-11-20,Daily Sales Settlement,261748.64,credit,Sales Revenue,Payment Gateway
2024-11-21,Daily Sales Settlement,312904.36,credit,Sales Revenue,Payment Gateway
2024-11-22,Daily Sales Settlement,231610.26,credit,Sales Revenue,Payment Gateway
2024-11-23,Daily Sales Settlement,311594.45,credit,Sales Revenue,Payment Gateway
2024-11-24,Daily Sales Settlement,289775.79,credit,Sales Revenue,Payment Gateway
