invoice_number,customer_name,customer_gstin,date,due_date,status,subtotal,gst_rate,gst_amount,total,items_json,notes,payment_link
INV-202603-0001,Saas Client 9,29AABCU0009R1ZC,2026-03-04,2026-04-03,paid,15079,18.0,2714.22,17793.22,"[{""description"": ""Monthly Sub Product 2"", ""quantity"": 5, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 2, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0001
INV-202601-0002,Saas Client 10,29AABCU0010R1ZB,2026-01-11,2026-01-26,sent,60508,18.0,10891.44,71399.44,"[{""description"": ""Setup Fee Product 5"", ""quantity"": 5, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 8, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 6, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Add-on Product 3"", ""quantity"": 7, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 10, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0002
INV-202603-0003,Saas Client 2,29AABCU0002R1ZB,2026-03-19,2026-05-18,draft,65150,18.0,11727.0,76877.0,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 4, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 5, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Add-on Product 3"", ""quantity"": 5, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 4, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 8, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0003
INV-202512-0004,Saas Client 8,29AABCU0008R1ZA,2025-12-30,2026-02-13,overdue,49865,18.0,8975.7,58840.7,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 9, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Add-on Product 3"", ""quantity"": 4, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 6, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 3, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0004
INV-202512-0005,Saas Client 13,29AABCU0013R1ZA,2025-12-26,2026-01-10,sent,35356,18.0,6364.08,41720.08,"[{""description"": ""Setup Fee Product 7"", ""quantity"": 4, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 8, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}, {""description"": ""Setup Fee Product 5"", ""quantity"": 8, ""unit_price"": 313, ""sku"": ""SKU-SAAS-005""}, {""description"": ""Monthly Sub Flagship (Hero)"", ""quantity"": 4, ""unit_price"": 2707, ""sku"": ""SKU-SAAS-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0005
INV-202602-0006,Saas Client 1,29AABCU0001R1ZC,2026-02-17,2026-03-04,sent,14322,18.0,2577.96,16899.96,"[{""description"": ""Add-on Product 3"", ""quantity"": 6, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0006
INV-202603-0007,Saas Client 10,29AABCU0010R1ZB,2026-03-05,2026-03-20,overdue,70146,18.0,12626.28,82772.28,"[{""description"": ""Annual Sub Product 6"", ""quantity"": 5, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 8, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Add-on Product 3"", ""quantity"": 9, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}, {""description"": ""Annual Sub Product 4"", ""quantity"": 7, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 6, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0007
INV-202602-0008,Saas Client 3,29AABCU0003R1ZC,2026-02-07,2026-04-08,sent,22662,18.0,4079.16,26741.16,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 3, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 5, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 1, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Annual Sub Product 6"", ""quantity"": 9, ""unit_price"": 1373, ""sku"": ""SKU-SAAS-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0008
INV-202603-0009,Saas Client 8,29AABCU0008R1ZA,2026-03-01,2026-04-15,overdue,16708,18.0,3007.44,19715.44,"[{""description"": ""Annual Sub Product 8"", ""quantity"": 1, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Setup Fee Product 7"", ""quantity"": 4, ""unit_price"": 1640, ""sku"": ""SKU-SAAS-007""}, {""description"": ""Add-on Product 3"", ""quantity"": 4, ""unit_price"": 2387, ""sku"": ""SKU-SAAS-003""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0009
INV-202602-0010,Saas Client 7,29AABCU0007R1ZA,2026-02-01,2026-03-03,paid,32372,18.0,5826.96,38198.96,"[{""description"": ""Annual Sub Product 4"", ""quantity"": 7, ""unit_price"": 2920, ""sku"": ""SKU-SAAS-004""}, {""description"": ""Annual Sub Product 8"", ""quantity"": 7, ""unit_price"": 600, ""sku"": ""SKU-SAAS-008""}, {""description"": ""Monthly Sub Product 2"", ""quantity"": 4, ""unit_price"": 1933, ""sku"": ""SKU-SAAS-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0010
