date,revenue,expenses,profit,top_selling_sku
2024-09-26,130921.01,18136.49,112784.51,SKU-SAAS-001
2024-09-27,146446.09,21094.97,125351.12,SKU-SAAS-001
2024-09-28,137450.12,19037.7,118412.42,SKU-SAAS-001
2024-09-29,123692.73,20364.04,103328.69,SKU-SAAS-001
2024-09-30,164550.87,22295.19,142255.69,SKU-SAAS-002
2024-10-01,137520.51,18571.96,118948.55,SKU-SAAS-001
2024-10-02,137657.7,20956.03,116701.67,SKU-SAAS-001
2024-10-03,151635.99,24634.91,127001.08,SKU-SAAS-007
2024-10-04,120889.17,16817.06,104072.11,SKU-SAAS-001
2024-10-05,158311.51,23240.19,135071.32,SKU-SAAS-008
2024-10-06,157072.92,21828.88,135244.04,SKU-SAAS-001
2024-10-07,175858.78,24620.54,151238.23,SKU-SAAS-001
2024-10-08,179901.72,27813.75,152087.97,SKU-SAAS-007
2024-10-09,127643.53,18691.58,108951.96,SKU-SAAS-001
2024-10-10,152120.87,24809.19,127311.68,SKU-SAAS-006
2024-10-11,123425.41,20043.95,103381.46,SKU-SAAS-001
2024-10-12,144995.72,20057.82,124937.9,SKU-SAAS-008
2024-10-13,125735.99,17163.09,108572.9,SKU-SAAS-001
2024-10-14,163432.87,25703.56,137729.31,SKU-SAAS-002
2024-10-15,162941.13,26797.27,136143.86,SKU-SAAS-001
2024-10-16,127196.73,17206.7,109990.03,SKU-SAAS-001
2024-10-17,164156.73,23548.16,140608.57,SKU-SAAS-002
2024-10-18,156132.17,24469.04,131663.13,SKU-SAAS-001
2024-10-19,181521.23,27492.97,154028.26,SKU-SAAS-001
2024-10-20,130313.96,18701.88,111612.08,SKU-SAAS-001
2024-10-21,157027.42,25844.72,131182.7,SKU-SAAS-001
2024-10-22,139650.63,22199.36,117451.27,SKU-SAAS-001
2024-10-23,137435.04,20425.75,117009.3,SKU-SAAS-001
2024-10-24,182752.6,28823.79,153928.81,SKU-SAAS-001
2024-10-25,173828.52,27998.05,145830.48,SKU-SAAS-001
2024-10-26,158859.39,22260.54,136598.85,SKU-SAAS-001
2024-10-27,155103.78,21222.22,133881.56,SKU-SAAS-001
2024-10-28,146281.68,20025.24,126256.44,SKU-SAAS-001
2024-10-29,136456.93,19531.64,116925.3,SKU-SAAS-001
2024-10-30,152676.49,23069.5,129606.99,SKU-SAAS-001
2024-10-31,147623.48,21966.54,125656.94,SKU-SAAS-001
2024-11-01,147472.13,24318.74,123153.39,SKU-SAAS-001
2024-11-02,177795.75,24951.71,152844.05,SKU-SAAS-003
2024-11-03,164666.22,23118.15,141548.07,SKU-SAAS-001
2024-11-04,134999.03,19530.87,115468.16,SKU-SAAS-001
2024-11-05,147937.2,22022.76,125914.43,SKU-SAAS-001
2024-11-06,145098.29,20102.35,124995.94,SKU-SAAS-002
2024-11-07,176365.35,25628.52,150736.83,SKU-SAAS-001
2024-11-08,142658.44,19973.1,122685.34,SKU-SAAS-001
2024-11-09,141205.6,19100.29,122105.31,SKU-SAAS-004
2024-11-10,152481.49,22382.67,130098.83,SKU-SAAS-006
2024-11-11,164371.2,24338.7,140032.5,SKU-SAAS-001
2024-11-12,176551.77,25118.07,151433.7,SKU-SAAS-001
2024-11-13,124740.83,16958.76,107782.07,SKU-SAAS-001
2024-11-14,129829.5,17794.52,112034.99,SKU-SAAS-001
2024-11-15,174084.88,28104.59,145980.29,SKU-SAAS-001
2024-11-16,180262.74,26006.82,154255.92,SKU-SAAS-005
2024-11-17,169944.73,23607.84,146336.89,SKU-SAAS-001
2024-11-18,168091.22,22696.7,145394.52,SKU-SAAS-001
2024-11-19,181305.76,25584.86,155720.9,SKU-SAAS-001
2024-11-20,148325.96,21637.32,126688.64,SKU-SAAS-007
2024-11-21,151661.17,22381.46,129279.71,SKU-SAAS-001
2024-11-22,177123.96,26423.04,150700.93,SKU-SAAS-001
2024-11-23,181310.8,24492.99,156817.82,SKU-SAAS-005
2024-11-24,138243.21,21164.25,117078.96,SKU-SAAS-008
2024-11-25,184086.68,30324.47,153762.21,SKU-SAAS-001
2024-11-26,132116.69,19315.06,112801.63,SKU-SAAS-001
2024-11-27,150795.76,22256.26,128539.5,SKU-SAAS-001
2024-11-28,150339.81,24315.75,126024.06,SKU-SAAS-001
2024-11-29,169461.72,26418.85,143042.87,SKU-SAAS-001
2024-11-30,128321.5,20568.6,107752.91,SKU-SAAS-002
2024-12-01,178999.35,27043.09,151956.25,SKU-SAAS-004
2024-12-02,185478.0,28167.4,157310.6,SKU-SAAS-001
2024-12-03,130438.92,19871.25,110567.67,SKU-SAAS-001
2024-12-04,143669.15,22599.27,121069.88,SKU-SAAS-001
2024-12-05,175503.71,27269.6,148234.1,SKU-SAAS-006
2024-12-06,169539.4,23643.79,145895.61,SKU-SAAS-001
2024-12-07,174234.83,24368.17,149866.65,SKU-SAAS-008
2024-12-08,167711.94,26844.42,140867.53,SKU-SAAS-001
2024-12-09,155835.86,23022.77,132813.09,SKU-SAAS-001
2024-12-10,150553.51,22949.22,127604.29,SKU-SAAS-005
2024-12-11,144609.36,20041.81,124567.56,SKU-SAAS-001
2024-12-12,164584.7,26462.29,138122.41,SKU-SAAS-002
2024-12-13,184073.7,27858.28,156215.42,SKU-SAAS-001
2024-12-14,145305.76,22567.43,122738.33,SKU-SAAS-007
2024-12-15,167862.58,25858.98,142003.6,SKU-SAAS-001
2024-12-16,157166.3,25152.17,132014.13,SKU-SAAS-001
2024-12-17,144794.39,23678.4,121115.99,SKU-SAAS-001
2024-12-18,164585.13,23890.93,140694.2,SKU-SAAS-001
2024-12-19,127160.21,18703.98,108456.23,SKU-SAAS-001
2024-12-20,166732.4,27352.86,139379.54,SKU-SAAS-008
2024-12-21,159974.89,24867.49,135107.39,SKU-SAAS-001
2024-12-22,139775.76,22800.58,116975.19,SKU-SAAS-001
2024-12-23,157409.28,25385.83,132023.46,SKU-SAAS-001
2024-12-24,163283.36,26107.4,137175.96,SKU-SAAS-004
2024-12-25,175894.25,23825.64,152068.61,SKU-SAAS-001
2024-12-26,174507.04,28060.55,146446.49,SKU-SAAS-001
2024-12-27,160559.39,25747.59,134811.8,SKU-SAAS-001
2024-12-28,188375.06,28634.77,159740.29,SKU-SAAS-001
2024-12-29,176754.07,28701.06,148053.01,SKU-SAAS-003
2024-12-30,158074.72,24916.1,133158.61,SKU-SAAS-004
2024-12-31,167053.1,25558.09,141495.01,SKU-SAAS-001
2025-01-01,195824.61,29195.78,166628.82,SKU-SAAS-001
2025-01-02,196337.63,26938.76,169398.87,SKU-SAAS-008
2025-01-03,196881.75,31866.64,165015.11,SKU-SAAS-008
2025-01-04,150430.17,24566.18,125863.99,SKU-SAAS-001
2025-01-05,150603.13,22831.19,127771.94,SKU-SAAS-001
2025-01-06,185062.23,27447.75,157614.48,SKU-SAAS-003
2025-01-07,187927.5,27478.69,160448.81,SKU-SAAS-006
2025-01-08,160595.72,25422.69,135173.03,SKU-SAAS-001
2025-01-09,165583.47,24867.24,140716.23,SKU-SAAS-001
2025-01-10,191369.34,29881.37,161487.97,SKU-SAAS-001
2025-01-11,150534.21,23068.01,127466.2,SKU-SAAS-006
2025-01-12,200457.73,32572.28,167885.46,SKU-SAAS-001
2025-01-13,204557.99,29363.21,175194.78,SKU-SAAS-004
2025-01-14,181530.78,24861.93,156668.85,SKU-SAAS-001
2025-01-15,150257.56,23848.07,126409.49,SKU-SAAS-001
2025-01-16,151471.19,23268.21,128202.98,SKU-SAAS-001
2025-01-17,194898.56,28422.61,166475.95,SKU-SAAS-003
2025-01-18,159746.47,24714.56,135031.91,SKU-SAAS-001
2025-01-19,152596.41,21624.02,130972.39,SKU-SAAS-001
2025-01-20,191642.79,26097.52,165545.27,SKU-SAAS-004
2025-01-21,206586.38,31878.87,174707.51,SKU-SAAS-001
2025-01-22,186206.15,30365.35,155840.8,SKU-SAAS-001
2025-01-23,149711.8,21737.76,127974.04,SKU-SAAS-001
2025-01-24,169508.77,26141.86,143366.91,SKU-SAAS-001
2025-01-25,162044.37,22332.96,139711.41,SKU-SAAS-001
2025-01-26,157852.84,25799.26,132053.57,SKU-SAAS-001
2025-01-27,142575.74,20464.39,122111.35,SKU-SAAS-005
2025-01-28,193114.16,29470.06,163644.1,SKU-SAAS-007
2025-01-29,188794.56,31063.96,157730.6,SKU-SAAS-001
2025-01-30,182559.23,25169.61,157389.61,SKU-SAAS-001
2025-01-31,194617.69,26376.82,168240.87,SKU-SAAS-001
2025-02-01,142574.41,21262.76,121311.65,SKU-SAAS-004
2025-02-02,193035.02,30143.83,162891.19,SKU-SAAS-001
2025-02-03,170189.39,24118.53,146070.86,SKU-SAAS-001
2025-02-04,167061.93,24830.04,142231.89,SKU-SAAS-001
2025-02-05,143201.86,19701.93,123499.93,SKU-SAAS-001
2025-02-06,146685.4,21855.45,124829.95,SKU-SAAS-001
2025-02-07,201013.45,29809.77,171203.68,SKU-SAAS-001
2025-02-08,179712.36,26707.27,153005.08,SKU-SAAS-001
2025-02-09,162585.58,23229.7,139355.88,SKU-SAAS-001
2025-02-10,179558.94,29594.54,149964.39,SKU-SAAS-007
2025-02-11,211009.28,29535.3,181473.98,SKU-SAAS-001
2025-02-12,189512.97,27865.77,161647.2,SKU-SAAS-001
2025-02-13,196461.46,28892.55,167568.91,SKU-SAAS-001
2025-02-14,157835.48,22048.27,135787.21,SKU-SAAS-003
2025-02-15,206103.99,32778.85,173325.14,SKU-SAAS-004
2025-02-16,197308.69,28851.35,168457.34,SKU-SAAS-001
2025-02-17,152194.59,25029.35,127165.25,SKU-SAAS-001
2025-02-18,175357.94,24964.82,150393.12,SKU-SAAS-001
2025-02-19,175875.46,23887.05,151988.41,SKU-SAAS-001
2025-02-20,203436.82,28254.66,175182.16,SKU-SAAS-001
2025-02-21,174987.31,27697.48,147289.83,SKU-SAAS-001
2025-02-22,210081.77,29605.52,180476.26,SKU-SAAS-001
2025-02-23,208749.13,29405.43,179343.7,SKU-SAAS-002
2025-02-24,172233.99,23438.55,148795.44,SKU-SAAS-001
2025-02-25,193163.05,30844.45,162318.6,SKU-SAAS-001
2025-02-26,147805.94,23055.35,124750.59,SKU-SAAS-002
2025-02-27,176951.78,28922.1,148029.67,SKU-SAAS-001
2025-02-28,197027.86,32363.79,164664.07,SKU-SAAS-001
2025-03-01,140157.55,19664.54,120493.02,SKU-SAAS-006
2025-03-02,171776.28,24204.09,147572.19,SKU-SAAS-004
2025-03-03,146894.76,23032.84,123861.92,SKU-SAAS-006
2025-03-04,132009.58,21287.23,110722.35,SKU-SAAS-001
2025-03-05,190842.39,31471.44,159370.96,SKU-SAAS-001
2025-03-06,155889.78,21682.51,134207.27,SKU-SAAS-001
2025-03-07,166434.79,25847.02,140587.77,SKU-SAAS-001
2025-03-08,184046.03,29565.15,154480.88,SKU-SAAS-004
2025-03-09,155321.12,25104.8,130216.32,SKU-SAAS-001
2025-03-10,148105.32,21162.61,126942.71,SKU-SAAS-001
2025-03-11,173695.81,26801.29,146894.52,SKU-SAAS-003
2025-03-12,173152.39,27136.75,146015.64,SKU-SAAS-001
2025-03-13,137290.17,20563.06,116727.11,SKU-SAAS-002
2025-03-14,164701.18,25347.88,139353.29,SKU-SAAS-002
2025-03-15,171533.12,24955.14,146577.98,SKU-SAAS-004
2025-03-16,178719.49,29185.23,149534.26,SKU-SAAS-001
2025-03-17,188979.37,30037.0,158942.37,SKU-SAAS-002
2025-03-18,144329.85,22420.85,121908.99,SKU-SAAS-001
2025-03-19,147096.49,21542.9,125553.58,SKU-SAAS-001
2025-03-20,165883.98,23278.55,142605.44,SKU-SAAS-006
2025-03-21,142257.19,19458.53,122798.66,SKU-SAAS-001
2025-03-22,134665.11,20046.67,114618.44,SKU-SAAS-001
2025-03-23,154692.46,24103.79,130588.67,SKU-SAAS-001
2025-03-24,162301.54,23365.63,138935.92,SKU-SAAS-001
2025-03-25,174967.03,25897.25,149069.79,SKU-SAAS-004
2025-03-26,144171.12,20207.64,123963.47,SKU-SAAS-001
2025-03-27,133714.24,20068.38,113645.86,SKU-SAAS-001
2025-03-28,167614.52,27353.75,140260.76,SKU-SAAS-005
2025-03-29,141431.56,20894.39,120537.16,SKU-SAAS-006
2025-03-30,146406.14,21994.88,124411.26,SKU-SAAS-007
2025-03-31,158864.64,22962.24,135902.4,SKU-SAAS-001
2025-04-01,172486.69,27806.25,144680.44,SKU-SAAS-001
2025-04-02,162748.4,23410.41,139337.99,SKU-SAAS-001
2025-04-03,144399.03,22859.8,121539.24,SKU-SAAS-001
2025-04-04,187463.85,30531.59,156932.25,SKU-SAAS-001
2025-04-05,165396.33,26100.35,139295.98,SKU-SAAS-008
2025-04-06,158978.06,23223.52,135754.54,SKU-SAAS-005
2025-04-07,187095.01,27196.23,159898.78,SKU-SAAS-006
2025-04-08,182023.58,26759.96,155263.62,SKU-SAAS-007
2025-04-09,198422.15,28917.5,169504.65,SKU-SAAS-007
2025-04-10,197361.27,29452.28,167908.99,SKU-SAAS-001
2025-04-11,138050.63,20047.84,118002.8,SKU-SAAS-004
2025-04-12,152012.21,22497.11,129515.1,SKU-SAAS-006
2025-04-13,161285.49,23680.75,137604.74,SKU-SAAS-001
2025-04-14,142093.41,19528.59,122564.82,SKU-SAAS-001
2025-04-15,197671.33,30246.36,167424.97,SKU-SAAS-001
2025-04-16,175735.61,26664.37,149071.24,SKU-SAAS-001
2025-04-17,189412.53,25706.91,163705.62,SKU-SAAS-001
2025-04-18,190286.53,27749.13,162537.4,SKU-SAAS-001
2025-04-19,174318.52,28146.07,146172.45,SKU-SAAS-001
2025-04-20,148372.82,24286.53,124086.3,SKU-SAAS-001
2025-04-21,194320.87,30981.95,163338.92,SKU-SAAS-001
2025-04-22,154996.29,23349.05,131647.25,SKU-SAAS-001
2025-04-23,183243.14,29576.58,153666.55,SKU-SAAS-001
2025-04-24,168008.5,26642.45,141366.06,SKU-SAAS-001
2025-04-25,174413.79,26196.68,148217.11,SKU-SAAS-006
2025-04-26,187460.64,27439.69,160020.95,SKU-SAAS-001
2025-04-27,161554.66,22197.84,139356.82,SKU-SAAS-001
2025-04-28,174156.77,25297.05,148859.73,SKU-SAAS-001
2025-04-29,156091.36,22207.84,133883.51,SKU-SAAS-001
2025-04-30,163593.19,26552.03,137041.17,SKU-SAAS-001
2025-05-01,170040.72,25827.8,144212.92,SKU-SAAS-001
2025-05-02,170587.85,27576.08,143011.77,SKU-SAAS-001
2025-05-03,141938.9,21780.41,120158.49,SKU-SAAS-001
2025-05-04,175589.51,26148.78,149440.73,SKU-SAAS-001
2025-05-05,171470.3,27780.46,143689.84,SKU-SAAS-001
2025-05-06,191736.14,30911.84,160824.31,SKU-SAAS-001
2025-05-07,184204.06,28381.68,155822.38,SKU-SAAS-007
2025-05-08,136343.57,22225.77,114117.8,SKU-SAAS-001
2025-05-09,163307.78,22382.05,140925.74,SKU-SAAS-002
2025-05-10,151841.71,23450.6,128391.11,SKU-SAAS-006
2025-05-11,159639.32,25018.48,134620.85,SKU-SAAS-001
2025-05-12,138982.13,20471.44,118510.69,SKU-SAAS-001
2025-05-13,142125.35,20669.93,121455.42,SKU-SAAS-004
2025-05-14,192965.35,26684.38,166280.97,SKU-SAAS-001
2025-05-15,158500.25,24386.85,134113.41,SKU-SAAS-001
2025-05-16,148380.91,20546.79,127834.12,SKU-SAAS-002
2025-05-17,142545.35,20806.85,121738.5,SKU-SAAS-005
2025-05-18,147117.65,22033.9,125083.75,SKU-SAAS-001
2025-05-19,136983.28,21032.28,115951.0,SKU-SAAS-001
2025-05-20,158540.67,25648.95,132891.71,SKU-SAAS-001
2025-05-21,170356.92,27589.06,142767.86,SKU-SAAS-001
2025-05-22,180373.55,25144.73,155228.82,SKU-SAAS-001
2025-05-23,179012.22,24175.91,154836.31,SKU-SAAS-001
2025-05-24,203284.78,30091.08,173193.7,SKU-SAAS-001
2025-05-25,191338.08,29292.0,162046.08,SKU-SAAS-003
2025-05-26,152854.23,24605.04,128249.2,SKU-SAAS-001
2025-05-27,162591.06,24281.85,138309.21,SKU-SAAS-001
2025-05-28,175600.63,24035.17,151565.45,SKU-SAAS-007
2025-05-29,150022.3,22812.66,127209.64,SKU-SAAS-001
2025-05-30,179827.44,25865.01,153962.43,SKU-SAAS-006
2025-05-31,136894.15,21818.71,115075.44,SKU-SAAS-001
2025-06-01,166783.62,23291.56,143492.06,SKU-SAAS-001
2025-06-02,162735.46,24528.58,138206.88,SKU-SAAS-005
2025-06-03,162067.29,25215.32,136851.97,SKU-SAAS-001
2025-06-04,192693.81,28532.62,164161.19,SKU-SAAS-001
2025-06-05,184065.79,29117.55,154948.24,SKU-SAAS-001
2025-06-06,170870.16,27731.48,143138.67,SKU-SAAS-001
2025-06-07,165256.29,23909.05,141347.24,SKU-SAAS-007
2025-06-08,153920.5,22777.91,131142.59,SKU-SAAS-001
2025-06-09,159033.49,23743.58,135289.91,SKU-SAAS-004
2025-06-10,143510.59,23389.38,120121.21,SKU-SAAS-008
2025-06-11,192544.83,27641.7,164903.14,SKU-SAAS-003
2025-06-12,182560.93,26233.81,156327.13,SKU-SAAS-001
2025-06-13,182793.2,29013.55,153779.65,SKU-SAAS-001
2025-06-14,184819.14,30490.09,154329.04,SKU-SAAS-003
2025-06-15,175056.18,25215.55,149840.62,SKU-SAAS-001
2025-06-16,187952.45,26169.9,161782.55,SKU-SAAS-006
2025-06-17,192435.68,29539.82,162895.86,SKU-SAAS-001
2025-06-18,145421.31,22622.2,122799.1,SKU-SAAS-001
2025-06-19,149530.85,22478.3,127052.55,SKU-SAAS-001
2025-06-20,161179.94,22250.88,138929.07,SKU-SAAS-007
2025-06-21,175497.74,24806.26,150691.48,SKU-SAAS-001
2025-06-22,194669.03,31968.58,162700.46,SKU-SAAS-001
2025-06-23,149018.11,21317.66,127700.45,SKU-SAAS-006
2025-06-24,183151.21,25185.3,157965.9,SKU-SAAS-001
2025-06-25,139627.13,19814.3,119812.83,SKU-SAAS-001
2025-06-26,199121.85,27155.81,171966.04,SKU-SAAS-001
2025-06-27,200267.53,32822.51,167445.02,SKU-SAAS-002
2025-06-28,156506.72,21804.6,134702.12,SKU-SAAS-001
2025-06-29,195364.83,30282.51,165082.31,SKU-SAAS-001
2025-06-30,156109.66,25356.08,130753.57,SKU-SAAS-001
2025-07-01,174222.63,24197.76,150024.88,SKU-SAAS-001
2025-07-02,167214.78,25623.97,141590.81,SKU-SAAS-004
2025-07-03,155141.01,25064.12,130076.89,SKU-SAAS-006
2025-07-04,207525.84,29069.69,178456.15,SKU-SAAS-001
2025-07-05,145617.22,21985.86,123631.37,SKU-SAAS-001
2025-07-06,198011.14,29130.81,168880.33,SKU-SAAS-001
2025-07-07,154887.3,25017.72,129869.59,SKU-SAAS-001
2025-07-08,189041.52,28123.39,160918.14,SKU-SAAS-001
2025-07-09,160233.46,24408.66,135824.8,SKU-SAAS-001
2025-07-10,186442.05,26207.97,160234.08,SKU-SAAS-008
2025-07-11,176279.91,24100.47,152179.44,SKU-SAAS-001
2025-07-12,197680.74,28642.56,169038.19,SKU-SAAS-001
2025-07-13,181401.86,28526.0,152875.87,SKU-SAAS-003
2025-07-14,153971.95,23253.99,130717.96,SKU-SAAS-001
2025-07-15,160305.07,23203.79,137101.28,SKU-SAAS-001
2025-07-16,185548.64,28046.31,157502.32,SKU-SAAS-002
2025-07-17,182463.4,29095.78,153367.62,SKU-SAAS-001
2025-07-18,187207.23,28475.35,158731.87,SKU-SAAS-001
2025-07-19,156117.92,23028.73,133089.19,SKU-SAAS-001
2025-07-20,164463.15,26181.98,138281.17,SKU-SAAS-005
2025-07-21,150416.62,23446.25,126970.37,SKU-SAAS-007
2025-07-22,144592.28,23165.97,121426.31,SKU-SAAS-001
2025-07-23,183465.74,26464.09,157001.64,SKU-SAAS-001
2025-07-24,191497.13,31485.6,160011.53,SKU-SAAS-001
2025-07-25,189849.6,30983.77,158865.84,SKU-SAAS-001
2025-07-26,148228.82,22586.31,125642.52,SKU-SAAS-003
2025-07-27,152981.9,24918.97,128062.93,SKU-SAAS-001
2025-07-28,165836.19,24166.52,141669.67,SKU-SAAS-004
2025-07-29,169599.67,23147.87,146451.8,SKU-SAAS-002
2025-07-30,166183.24,24806.98,141376.26,SKU-SAAS-001
2025-07-31,184693.37,25874.83,158818.53,SKU-SAAS-001
2025-08-01,198628.39,30287.18,168341.21,SKU-SAAS-001
2025-08-02,192437.3,28795.77,163641.53,SKU-SAAS-005
2025-08-03,180489.67,26523.09,153966.58,SKU-SAAS-001
2025-08-04,196488.65,29624.73,166863.92,SKU-SAAS-001
2025-08-05,155624.56,22058.65,133565.91,SKU-SAAS-001
2025-08-06,186851.09,26512.86,160338.23,SKU-SAAS-001
2025-08-07,183754.48,28292.35,155462.13,SKU-SAAS-001
2025-08-08,210545.51,30409.31,180136.2,SKU-SAAS-001
2025-08-09,200248.98,28897.41,171351.57,SKU-SAAS-001
2025-08-10,190854.68,26352.27,164502.41,SKU-SAAS-001
2025-08-11,189187.73,25848.49,163339.24,SKU-SAAS-001
2025-08-12,156382.21,23098.28,133283.93,SKU-SAAS-001
2025-08-13,143499.38,22554.31,120945.07,SKU-SAAS-001
2025-08-14,154489.69,24969.98,129519.72,SKU-SAAS-001
2025-08-15,148171.57,22579.44,125592.14,SKU-SAAS-001
2025-08-16,192991.58,30770.67,162220.91,SKU-SAAS-001
2025-08-17,207541.25,34180.49,173360.76,SKU-SAAS-001
2025-08-18,143968.05,19836.19,124131.86,SKU-SAAS-001
2025-08-19,168408.17,25882.04,142526.13,SKU-SAAS-001
2025-08-20,198644.34,27123.66,171520.68,SKU-SAAS-001
2025-08-21,164756.42,23630.44,141125.98,SKU-SAAS-002
2025-08-22,190615.39,27495.51,163119.88,SKU-SAAS-001
2025-08-23,152389.75,22427.65,129962.11,SKU-SAAS-001
2025-08-24,180722.19,27330.2,153391.99,SKU-SAAS-001
2025-08-25,151305.73,24160.39,127145.34,SKU-SAAS-001
2025-08-26,182756.71,26311.05,156445.65,SKU-SAAS-007
2025-08-27,169375.8,25402.11,143973.69,SKU-SAAS-001
2025-08-28,158143.91,23154.76,134989.14,SKU-SAAS-008
2025-08-29,211862.86,34536.12,177326.74,SKU-SAAS-007
2025-08-30,213202.18,32619.38,180582.8,SKU-SAAS-001
2025-08-31,201643.58,29595.44,172048.14,SKU-SAAS-001
2025-09-01,172825.66,23379.76,149445.9,SKU-SAAS-001
2025-09-02,207890.02,33362.49,174527.54,SKU-SAAS-001
2025-09-03,153706.28,23520.13,130186.15,SKU-SAAS-001
2025-09-04,171127.09,26254.0,144873.09,SKU-SAAS-001
2025-09-05,154993.14,24736.64,130256.5,SKU-SAAS-001
2025-09-06,212470.41,33327.8,179142.61,SKU-SAAS-001
2025-09-07,144707.52,22485.66,122221.86,SKU-SAAS-008
2025-09-08,147289.61,22390.72,124898.89,SKU-SAAS-002
2025-09-09,162849.22,22043.27,140805.95,SKU-SAAS-008
2025-09-10,214060.94,32731.9,181329.04,SKU-SAAS-003
2025-09-11,178540.54,24857.83,153682.71,SKU-SAAS-001
2025-09-12,164755.88,26391.11,138364.77,SKU-SAAS-001
2025-09-13,194155.61,31700.01,162455.6,SKU-SAAS-001
2025-09-14,180575.04,28935.54,151639.5,SKU-SAAS-003
2025-09-15,153720.98,23592.27,130128.7,SKU-SAAS-004
2025-09-16,179055.72,26846.11,152209.62,SKU-SAAS-001
2025-09-17,204221.57,33230.57,170991.0,SKU-SAAS-001
2025-09-18,155228.34,24279.47,130948.87,SKU-SAAS-003
2025-09-19,183672.78,30206.2,153466.58,SKU-SAAS-001
2025-09-20,165543.98,24667.65,140876.33,SKU-SAAS-001
2025-09-21,174536.78,27178.68,147358.1,SKU-SAAS-004
2025-09-22,144257.25,20734.71,123522.54,SKU-SAAS-001
2025-09-23,200549.85,28162.45,172387.4,SKU-SAAS-004
2025-09-24,182936.1,29622.53,153313.57,SKU-SAAS-001
2025-09-25,166387.03,23203.9,143183.13,SKU-SAAS-001
2025-09-26,181847.65,27543.16,154304.49,SKU-SAAS-001
2025-09-27,183034.65,28006.73,155027.92,SKU-SAAS-007
2025-09-28,192353.95,28439.29,163914.66,SKU-SAAS-008
2025-09-29,145336.34,20943.12,124393.21,SKU-SAAS-005
2025-09-30,188838.49,30617.46,158221.03,SKU-SAAS-001
2025-10-01,162628.49,22388.35,140240.15,SKU-SAAS-003
2025-10-02,164743.32,26379.29,138364.03,SKU-SAAS-001
2025-10-03,212255.64,31492.57,180763.07,SKU-SAAS-001
2025-10-04,188619.48,26048.89,162570.59,SKU-SAAS-001
2025-10-05,194995.82,27747.31,167248.5,SKU-SAAS-001
2025-10-06,210794.83,30680.7,180114.12,SKU-SAAS-001
2025-10-07,185426.61,28150.54,157276.07,SKU-SAAS-006
2025-10-08,206368.01,32283.94,174084.07,SKU-SAAS-004
2025-10-09,194199.86,26754.87,167444.99,SKU-SAAS-003
2025-10-10,193484.64,28394.35,165090.3,SKU-SAAS-008
2025-10-11,149625.65,22134.74,127490.92,SKU-SAAS-001
2025-10-12,159244.37,23443.56,135800.82,SKU-SAAS-004
2025-10-13,203935.65,28746.17,175189.48,SKU-SAAS-007
2025-10-14,211140.6,30554.41,180586.19,SKU-SAAS-002
2025-10-15,199534.29,32771.65,166762.64,SKU-SAAS-001
2025-10-16,185790.72,25687.1,160103.62,SKU-SAAS-003
2025-10-17,167462.44,24705.6,142756.84,SKU-SAAS-002
2025-10-18,213525.05,32396.18,181128.87,SKU-SAAS-001
2025-10-19,177484.88,28318.84,149166.05,SKU-SAAS-001
2025-10-20,174848.08,23923.38,150924.69,SKU-SAAS-001
2025-10-21,185418.5,29459.55,155958.95,SKU-SAAS-002
2025-10-22,191070.53,30162.51,160908.03,SKU-SAAS-001
2025-10-23,152991.08,20761.38,132229.7,SKU-SAAS-001
