date,description,amount,type,category,merchant
2024-09-26,Daily Sales Settlement,130921.01,credit,Sales Revenue,Payment Gateway
2024-09-27,Daily Sales Settlement,146446.09,credit,Sales Revenue,Payment Gateway
2024-09-27,Supplier Payment / Overheads,22542.11168553358,debit,Payroll,Various Vendors
2024-09-28,Daily Sales Settlement,137450.12,credit,Sales Revenue,Payment Gateway
2024-09-28,Supplier Payment / Overheads,26300.509978939666,debit,Marketing,Various Vendors
2024-09-29,Daily Sales Settlement,123692.73,credit,Sales Revenue,Payment Gateway
2024-09-30,Daily Sales Settlement,164550.87,credit,Sales Revenue,Payment Gateway
2024-10-01,Daily Sales Settlement,137520.51,credit,Sales Revenue,Payment Gateway
2024-10-01,Supplier Payment / Overheads,16337.684325593907,debit,Marketing,Various Vendors
2024-10-02,Daily Sales Settlement,137657.7,credit,Sales Revenue,Payment Gateway
2024-10-03,Daily Sales Settlement,151635.99,credit,Sales Revenue,Payment Gateway
2024-10-03,Supplier Payment / Overheads,29765.786411216584,debit,Payroll,Various Vendors
2024-10-04,Daily Sales Settlement,120889.17,credit,Sales Revenue,Payment Gateway
2024-10-04,Supplier Payment / Overheads,19151.068860624546,debit,Payroll,Various Vendors
2024-10-05,Daily Sales Settlement,158311.51,credit,Sales Revenue,Payment Gateway
2024-10-06,Daily Sales Settlement,157072.92,credit,Sales Revenue,Payment Gateway
2024-10-07,Daily Sales Settlement,175858.78,credit,Sales Revenue,Payment Gateway
2024-10-08,Daily Sales Settlement,179901.72,credit,Sales Revenue,Payment Gateway
2024-10-09,Daily Sales Settlement,127643.53,credit,Sales Revenue,Payment Gateway
2024-10-10,Daily Sales Settlement,152120.87,credit,Sales Revenue,Payment Gateway
2024-10-10,Supplier Payment / Overheads,22875.512947516818,debit,Rent,Various Vendors
2024-10-11,Daily Sales Settlement,123425.41,credit,Sales Revenue,Payment Gateway
2024-10-11,Supplier Payment / Overheads,16676.12838808276,debit,Rent,Various Vendors
2024-10-12,Daily Sales Settlement,144995.72,credit,Sales Revenue,Payment Gateway
2024-10-13,Daily Sales Settlement,125735.99,credit,Sales Revenue,Payment Gateway
2024-10-14,Daily Sales Settlement,163432.87,credit,Sales Revenue,Payment Gateway
2024-10-15,Daily Sales Settlement,162941.13,credit,Sales Revenue,Payment Gateway
2024-10-15,Supplier Payment / Overheads,34895.029705391025,debit,Payroll,Various Vendors
2024-10-16,Daily Sales Settlement,127196.73,credit,Sales Revenue,Payment Gateway
2024-10-16,Supplier Payment / Overheads,22243.954304980645,debit,COGS,Various Vendors
2024-10-17,Daily Sales Settlement,164156.73,credit,Sales Revenue,Payment Gateway
2024-10-17,Supplier Payment / Overheads,20040.003216429537,debit,Payroll,Various Vendors
2024-10-18,Daily Sales Settlement,156132.17,credit,Sales Revenue,Payment Gateway
2024-10-19,Daily Sales Settlement,181521.23,credit,Sales Revenue,Payment Gateway
2024-10-19,Supplier Payment / Overheads,32234.066501457255,debit,COGS,Various Vendors
