invoice_number,customer_name,customer_gstin,date,due_date,status,subtotal,gst_rate,gst_amount,total,items_json,notes,payment_link
INV-202602-0001,Services Client 13,29AABCU0013R1ZC,2026-02-23,2026-04-09,paid,21510,18.0,3871.8,25381.8,"[{""description"": ""Retainer Product 2"", ""quantity"": 10, ""unit_price"": 2151, ""sku"": ""SKU-SERVICES-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0001
INV-202602-0002,Services Client 5,29AABCU0005R1ZC,2026-02-26,2026-03-13,paid,108007,18.0,19441.26,127448.26,"[{""description"": ""Implementation Product 20"", ""quantity"": 9, ""unit_price"": 4696, ""sku"": ""SKU-SERVICES-020""}, {""description"": ""Consulting Product 16"", ""quantity"": 1, ""unit_price"": 1597, ""sku"": ""SKU-SERVICES-016""}, {""description"": ""Audit Flagship (Hero)"", ""quantity"": 3, ""unit_price"": 6768, ""sku"": ""SKU-SERVICES-001""}, {""description"": ""Audit Product 12"", ""quantity"": 6, ""unit_price"": 7307, ""sku"": ""SKU-SERVICES-012""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0002
INV-202602-0003,Services Client 11,29AABCU0011R1ZC,2026-02-25,2026-04-11,overdue,24340,18.0,4381.2,28721.2,"[{""description"": ""Retainer Product 6"", ""quantity"": 4, ""unit_price"": 6085, ""sku"": ""SKU-SERVICES-006""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0003
INV-202601-0004,Services Client 1,29AABCU0001R1ZC,2026-01-03,2026-02-17,paid,43842,18.0,7891.56,51733.56,"[{""description"": ""Audit Product 12"", ""quantity"": 6, ""unit_price"": 7307, ""sku"": ""SKU-SERVICES-012""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0004
INV-202512-0005,Services Client 6,29AABCU0006R1ZC,2025-12-21,2026-01-20,paid,126754,18.0,22815.72,149569.72,"[{""description"": ""Consulting Product 9"", ""quantity"": 1, ""unit_price"": 7133, ""sku"": ""SKU-SERVICES-009""}, {""description"": ""Audit Product 7"", ""quantity"": 3, ""unit_price"": 11156, ""sku"": ""SKU-SERVICES-007""}, {""description"": ""Retainer Product 14"", ""quantity"": 5, ""unit_price"": 4026, ""sku"": ""SKU-SERVICES-014""}, {""description"": ""Audit Product 7"", ""quantity"": 4, ""unit_price"": 11156, ""sku"": ""SKU-SERVICES-007""}, {""description"": ""Consulting Product 9"", ""quantity"": 3, ""unit_price"": 7133, ""sku"": ""SKU-SERVICES-009""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0005
INV-202603-0006,Services Client 13,29AABCU0013R1ZC,2026-03-20,2026-05-04,overdue,27792,18.0,5002.56,32794.56,"[{""description"": ""Consulting Product 5"", ""quantity"": 4, ""unit_price"": 5802, ""sku"": ""SKU-SERVICES-005""}, {""description"": ""Audit Product 11"", ""quantity"": 6, ""unit_price"": 764, ""sku"": ""SKU-SERVICES-011""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0006
INV-202601-0007,Services Client 3,29AABCU0003R1ZC,2026-01-06,2026-02-20,paid,125358,18.0,22564.44,147922.44,"[{""description"": ""Retainer Product 6"", ""quantity"": 10, ""unit_price"": 6085, ""sku"": ""SKU-SERVICES-006""}, {""description"": ""Retainer Product 6"", ""quantity"": 8, ""unit_price"": 6085, ""sku"": ""SKU-SERVICES-006""}, {""description"": ""Audit Product 11"", ""quantity"": 3, ""unit_price"": 764, ""sku"": ""SKU-SERVICES-011""}, {""description"": ""Audit Flagship (Hero)"", ""quantity"": 2, ""unit_price"": 6768, ""sku"": ""SKU-SERVICES-001""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0007
INV-202602-0008,Services Client 2,29AABCU0002R1ZB,2026-02-21,2026-03-08,overdue,107176,18.0,19291.68,126467.68,"[{""description"": ""Consulting Product 19"", ""quantity"": 8, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}, {""description"": ""Audit Product 11"", ""quantity"": 4, ""unit_price"": 764, ""sku"": ""SKU-SERVICES-011""}, {""description"": ""Implementation Product 17"", ""quantity"": 6, ""unit_price"": 1609, ""sku"": ""SKU-SERVICES-017""}, {""description"": ""Retainer Product 2"", ""quantity"": 6, ""unit_price"": 2151, ""sku"": ""SKU-SERVICES-002""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0008
INV-202603-0009,Services Client 12,29AABCU0012R1ZA,2026-03-06,2026-05-05,paid,189214,18.0,34058.52,223272.52,"[{""description"": ""Implementation Product 17"", ""quantity"": 8, ""unit_price"": 1609, ""sku"": ""SKU-SERVICES-017""}, {""description"": ""Consulting Product 19"", ""quantity"": 3, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}, {""description"": ""Consulting Product 19"", ""quantity"": 8, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}, {""description"": ""Consulting Product 9"", ""quantity"": 9, ""unit_price"": 7133, ""sku"": ""SKU-SERVICES-009""}]",Thank you for your business.,https://paytm.me/finai/inv-202603-0009
INV-202602-0010,Services Client 9,29AABCU0009R1ZC,2026-02-12,2026-03-29,overdue,130755,18.0,23535.9,154290.9,"[{""description"": ""Implementation Product 17"", ""quantity"": 7, ""unit_price"": 1609, ""sku"": ""SKU-SERVICES-017""}, {""description"": ""Consulting Product 9"", ""quantity"": 1, ""unit_price"": 7133, ""sku"": ""SKU-SERVICES-009""}, {""description"": ""Consulting Product 13"", ""quantity"": 2, ""unit_price"": 10302, ""sku"": ""SKU-SERVICES-013""}, {""description"": ""Consulting Product 19"", ""quantity"": 9, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}]",Thank you for your business.,https://paytm.me/finai/inv-202602-0010
INV-202601-0011,Services Client 10,29AABCU0010R1ZB,2026-01-31,2026-03-02,sent,168812,18.0,30386.16,199198.16,"[{""description"": ""Audit Product 7"", ""quantity"": 5, ""unit_price"": 11156, ""sku"": ""SKU-SERVICES-007""}, {""description"": ""Audit Product 8"", ""quantity"": 3, ""unit_price"": 12665, ""sku"": ""SKU-SERVICES-008""}, {""description"": ""Consulting Product 19"", ""quantity"": 4, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}, {""description"": ""Implementation Product 10"", ""quantity"": 3, ""unit_price"": 11419, ""sku"": ""SKU-SERVICES-010""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0011
INV-202512-0012,Services Client 9,29AABCU0009R1ZC,2025-12-30,2026-02-13,paid,78958,18.0,14212.44,93170.44,"[{""description"": ""Audit Product 15"", ""quantity"": 3, ""unit_price"": 3121, ""sku"": ""SKU-SERVICES-015""}, {""description"": ""Retainer Product 2"", ""quantity"": 9, ""unit_price"": 2151, ""sku"": ""SKU-SERVICES-002""}, {""description"": ""Audit Product 11"", ""quantity"": 5, ""unit_price"": 764, ""sku"": ""SKU-SERVICES-011""}, {""description"": ""Consulting Product 5"", ""quantity"": 8, ""unit_price"": 5802, ""sku"": ""SKU-SERVICES-005""}]",Thank you for your business.,https://paytm.me/finai/inv-202512-0012
INV-202601-0013,Services Client 14,29AABCU0014R1ZB,2026-01-02,2026-01-17,sent,48392,18.0,8710.56,57102.56,"[{""description"": ""Consulting Product 16"", ""quantity"": 4, ""unit_price"": 1597, ""sku"": ""SKU-SERVICES-016""}, {""description"": ""Consulting Product 19"", ""quantity"": 3, ""unit_price"": 10195, ""sku"": ""SKU-SERVICES-019""}, {""description"": ""Implementation Product 10"", ""quantity"": 1, ""unit_price"": 11419, ""sku"": ""SKU-SERVICES-010""}]",Thank you for your business.,https://paytm.me/finai/inv-202601-0013
