date,revenue,expenses,profit,top_selling_sku
2024-09-26,127385.84,50310.7,77075.15,SKU-SERVICES-001
2024-09-27,105815.3,43718.98,62096.33,SKU-SERVICES-002
2024-09-28,88279.74,35045.71,53234.04,SKU-SERVICES-009
2024-09-29,107156.19,39926.87,67229.32,SKU-SERVICES-001
2024-09-30,113812.16,45183.42,68628.73,SKU-SERVICES-001
2024-10-01,127404.34,50010.12,77394.22,SKU-SERVICES-001
2024-10-02,107375.84,41783.28,65592.56,SKU-SERVICES-001
2024-10-03,101545.81,40349.27,61196.54,SKU-SERVICES-001
2024-10-04,119226.82,43383.93,75842.89,SKU-SERVICES-016
2024-10-05,89493.32,32772.27,56721.05,SKU-SERVICES-001
2024-10-06,90024.38,34504.25,55520.13,SKU-SERVICES-001
2024-10-07,88853.17,35931.14,52922.03,SKU-SERVICES-017
2024-10-08,97084.23,35565.68,61518.55,SKU-SERVICES-001
2024-10-09,100024.35,38064.91,61959.44,SKU-SERVICES-001
2024-10-10,100839.18,42791.39,58047.79,SKU-SERVICES-012
2024-10-11,120098.08,50153.07,69945.01,SKU-SERVICES-001
2024-10-12,118130.81,46137.46,71993.35,SKU-SERVICES-001
2024-10-13,104005.93,38156.94,65849.0,SKU-SERVICES-001
2024-10-14,95345.88,35014.51,60331.38,SKU-SERVICES-001
2024-10-15,109534.47,47647.5,61886.96,SKU-SERVICES-013
2024-10-16,103920.29,45076.77,58843.51,SKU-SERVICES-001
2024-10-17,103017.26,40073.32,62943.94,SKU-SERVICES-007
2024-10-18,101387.11,42714.86,58672.25,SKU-SERVICES-001
2024-10-19,112344.59,44990.64,67353.95,SKU-SERVICES-004
2024-10-20,112053.34,48255.13,63798.2,SKU-SERVICES-014
2024-10-21,128922.83,46762.53,82160.3,SKU-SERVICES-019
2024-10-22,130779.6,49152.2,81627.4,SKU-SERVICES-008
2024-10-23,93567.98,40806.96,52761.02,SKU-SERVICES-001
2024-10-24,111401.36,44088.66,67312.69,SKU-SERVICES-001
2024-10-25,131658.76,48096.58,83562.19,SKU-SERVICES-019
2024-10-26,113725.07,41096.95,72628.11,SKU-SERVICES-001
2024-10-27,89182.17,38263.65,50918.52,SKU-SERVICES-001
2024-10-28,90302.34,33932.0,56370.34,SKU-SERVICES-001
2024-10-29,100285.03,41282.27,59002.76,SKU-SERVICES-016
2024-10-30,107786.42,40599.83,67186.6,SKU-SERVICES-001
2024-10-31,104755.45,38728.1,66027.34,SKU-SERVICES-001
2024-11-01,113493.05,43233.46,70259.58,SKU-SERVICES-001
2024-11-02,107340.52,46571.61,60768.91,SKU-SERVICES-001
2024-11-03,96931.37,42453.77,54477.6,SKU-SERVICES-013
2024-11-04,121946.96,46552.68,75394.29,SKU-SERVICES-001
2024-11-05,125773.37,54612.93,71160.44,SKU-SERVICES-001
2024-11-06,131040.15,52399.66,78640.49,SKU-SERVICES-001
2024-11-07,95085.72,39406.59,55679.13,SKU-SERVICES-001
2024-11-08,93263.34,36681.4,56581.95,SKU-SERVICES-001
2024-11-09,115206.35,47063.06,68143.29,SKU-SERVICES-001
2024-11-10,117317.77,48567.76,68750.02,SKU-SERVICES-001
2024-11-11,122750.24,51790.94,70959.3,SKU-SERVICES-001
2024-11-12,122168.01,49191.31,72976.7,SKU-SERVICES-020
2024-11-13,126711.78,51875.61,74836.16,SKU-SERVICES-001
2024-11-14,115505.09,42530.41,72974.67,SKU-SERVICES-018
2024-11-15,97606.67,41144.37,56462.3,SKU-SERVICES-001
