date,description,amount,type,category,merchant
2024-09-26,Daily Sales Settlement,127385.84,credit,Sales Revenue,Payment Gateway
2024-09-27,Daily Sales Settlement,105815.3,credit,Sales Revenue,Payment Gateway
2024-09-27,Supplier Payment / Overheads,48991.50625603677,debit,Payroll,Various Vendors
2024-09-28,Daily Sales Settlement,88279.74,credit,Sales Revenue,Payment Gateway
2024-09-29,Daily Sales Settlement,107156.19,credit,Sales Revenue,Payment Gateway
2024-09-29,Supplier Payment / Overheads,34255.14788225687,debit,Marketing,Various Vendors
2024-09-30,Daily Sales Settlement,113812.16,credit,Sales Revenue,Payment Gateway
2024-10-01,Daily Sales Settlement,127404.34,credit,Sales Revenue,Payment Gateway
2024-10-01,Supplier Payment / Overheads,74285.01880793725,debit,COGS,Various Vendors
2024-10-02,Daily Sales Settlement,107375.84,credit,Sales Revenue,Payment Gateway
2024-10-02,Supplier Payment / Overheads,37183.877855703104,debit,Payroll,Various Vendors
2024-10-03,Daily Sales Settlement,101545.81,credit,Sales Revenue,Payment Gateway
2024-10-03,Supplier Payment / Overheads,51212.38208275644,debit,Payroll,Various Vendors
2024-10-04,Daily Sales Settlement,119226.82,credit,Sales Revenue,Payment Gateway
2024-10-04,Supplier Payment / Overheads,43971.01903735133,debit,Rent,Various Vendors
2024-10-05,Daily Sales Settlement,89493.32,credit,Sales Revenue,Payment Gateway
2024-10-05,Supplier Payment / Overheads,47208.89905348235,debit,COGS,Various Vendors
2024-10-06,Daily Sales Settlement,90024.38,credit,Sales Revenue,Payment Gateway
2024-10-06,Supplier Payment / Overheads,29431.79592953852,debit,Rent,Various Vendors
2024-10-07,Daily Sales Settlement,88853.17,credit,Sales Revenue,Payment Gateway
2024-10-08,Daily Sales Settlement,97084.23,credit,Sales Revenue,Payment Gateway
2024-10-09,Daily Sales Settlement,100024.35,credit,Sales Revenue,Payment Gateway
2024-10-09,Supplier Payment / Overheads,49263.207216634866,debit,Marketing,Various Vendors
2024-10-10,Daily Sales Settlement,100839.18,credit,Sales Revenue,Payment Gateway
2024-10-10,Supplier Payment / Overheads,41750.88017097689,debit,Marketing,Various Vendors
2024-10-11,Daily Sales Settlement,120098.08,credit,Sales Revenue,Payment Gateway
2024-10-12,Daily Sales Settlement,118130.81,credit,Sales Revenue,Payment Gateway
2024-10-13,Daily Sales Settlement,104005.93,credit,Sales Revenue,Payment Gateway
2024-10-13,Supplier Payment / Overheads,51987.51030826086,debit,Payroll,Various Vendors
2024-10-14,Daily Sales Settlement,95345.88,credit,Sales Revenue,Payment Gateway
2024-10-15,Daily Sales Settlement,109534.47,credit,Sales Revenue,Payment Gateway
2024-10-16,Daily Sales Settlement,103920.29,credit,Sales Revenue,Payment Gateway
2024-10-17,Daily Sales Settlement,103017.26,credit,Sales Revenue,Payment Gateway
2024-10-17,Supplier Payment / Overheads,50249.905381026234,debit,Marketing,Various Vendors
2024-10-18,Daily Sales Settlement,101387.11,credit,Sales Revenue,Payment Gateway
2024-10-19,Daily Sales Settlement,112344.59,credit,Sales Revenue,Payment Gateway
2024-10-20,Daily Sales Settlement,112053.34,credit,Sales Revenue,Payment Gateway
2024-10-21,Daily Sales Settlement,128922.83,credit,Sales Revenue,Payment Gateway
2024-10-21,Supplier Payment / Overheads,44051.66624374929,debit,COGS,Various Vendors
2024-10-22,Daily Sales Settlement,130779.6,credit,Sales Revenue,Payment Gateway
2024-10-22,Supplier Payment / Overheads,71620.81961915715,debit,Marketing,Various Vendors
2024-10-23,Daily Sales Settlement,93567.98,credit,Sales Revenue,Payment Gateway
2024-10-24,Daily Sales Settlement,111401.36,credit,Sales Revenue,Payment Gateway
2024-10-25,Daily Sales Settlement,131658.76,credit,Sales Revenue,Payment Gateway
2024-10-25,Supplier Payment / Overheads,40419.86984431291,debit,Payroll,Various Vendors
2024-10-26,Daily Sales Settlement,113725.07,credit,Sales Revenue,Payment Gateway
2024-10-26,Supplier Payment / Overheads,59918.80581758738,debit,Payroll,Various Vendors
2024-10-27,Daily Sales Settlement,89182.17,credit,Sales Revenue,Payment Gateway
2024-10-28,Daily Sales Settlement,90302.34,credit,Sales Revenue,Payment Gateway
2024-10-28,Supplier Payment / Overheads,48743.392660391255,debit,Payroll,Various Vendors
2024-10-29,Daily Sales Settlement,100285.03,credit,Sales Revenue,Payment Gateway
2024-10-30,Daily Sales Settlement,107786.42,credit,Sales Revenue,Payment Gateway
2024-10-30,Supplier Payment / Overheads,36487.20737834637,debit,Marketing,Various Vendors
2024-10-31,Daily Sales Settlement,104755.45,credit,Sales Revenue,Payment Gateway
2024-10-31,Supplier Payment / Overheads,31482.207407893846,debit,Rent,Various Vendors
2024-11-01,Daily Sales Settlement,113493.05,credit,Sales Revenue,Payment Gateway
2024-11-02,Daily Sales Settlement,107340.52,credit,Sales Revenue,Payment Gateway
2024-11-02,Supplier Payment / Overheads,41940.47728672045,debit,Payroll,Various Vendors
2024-11-03,Daily Sales Settlement,96931.37,credit,Sales Revenue,Payment Gateway
2024-11-04,Daily Sales Settlement,121946.96,credit,Sales Revenue,Payment Gateway
2024-11-05,Daily Sales Settlement,125773.37,credit,Sales Revenue,Payment Gateway
2024-11-05,Supplier Payment / Overheads,63057.76695294906,debit,COGS,Various Vendors
2024-11-06,Daily Sales Settlement,131040.15,credit,Sales Revenue,Payment Gateway
2024-11-07,Daily Sales Settlement,95085.72,credit,Sales Revenue,Payment Gateway
2024-11-08,Daily Sales Settlement,93263.34,credit,Sales Revenue,Payment Gateway
2024-11-09,Daily Sales Settlement,115206.35,credit,Sales Revenue,Payment Gateway
2024-11-10,Daily Sales Settlement,117317.77,credit,Sales Revenue,Payment Gateway
2024-11-10,Supplier Payment / Overheads,66546.12811673647,debit,Payroll,Various Vendors
2024-11-11,Daily Sales Settlement,122750.24,credit,Sales Revenue,Payment Gateway
2024-11-12,Daily Sales Settlement,122168.01,credit,Sales Revenue,Payment Gateway
2024-11-12,Supplier Payment / Overheads,69257.15378874673,debit,Marketing,Various Vendors
2024-11-13,Daily Sales Settlement,126711.78,credit,Sales Revenue,Payment Gateway
2024-11-14,Daily Sales Settlement,115505.09,credit,Sales Revenue,Payment Gateway
2024-11-15,Daily Sales Settlement,97606.67,credit,Sales Revenue,Payment Gateway
2024-11-15,Supplier Payment / Overheads,55082.4441414035,debit,Payroll,Various Vendors
2024-11-16,Daily Sales Settlement,115659.32,credit,Sales Revenue,Payment Gateway
2024-11-17,Daily Sales Settlement,96384.36,credit,Sales Revenue,Payment Gateway
2024-11-18,Daily Sales Settlement,117280.78,credit,Sales Revenue,Payment Gateway
2024-11-19,Daily Sales Settlement,111085.33,credit,Sales Revenue,Payment Gateway
2024-11-20,Daily Sales Settlement,99770.33,credit,Sales Revenue,Payment Gateway
2024-11-21,Daily Sales Settlement,119205.34,credit,Sales Revenue,Payment Gateway
2024-11-22,Daily Sales Settlement,98448.51,credit,Sales Revenue,Payment Gateway
2024-11-22,Supplier Payment / Overheads,34116.917975063465,debit,Marketing,Various Vendors
2024-11-23,Daily Sales Settlement,131806.45,credit,Sales Revenue,Payment Gateway
2024-11-24,Daily Sales Settlement,129547.71,credit,Sales Revenue,Payment Gateway
